name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
shibboleth-shibfilter-1.0.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
axis-1.2.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-codec-1.7.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-dbcp-1.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-fileupload-1.3.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-httpclient-3.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-io-2.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-lang3-3.9.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-pool-1.5.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-validator-1.4.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
cxf-rt-core-2.4.6-redhat-1.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
ejml-core-0.34.jar,"Apache-2.0",-,-,-,Java,-,-,-
ejml-ddense-0.34.jar,"Apache-2.0",-,-,-,Java,-,-,-
fontbox-2.0.0-RC2.jar,"Apache-2.0",-,-,-,Java,-,-,-
gson-2.2.4.jar,"Apache-2.0",Google,-,-,Java,-,-,-
hibernate-validator-4.3.1.Final.jar,"Apache-2.0",-,-,-,Java,-,-,-
httpclient-4.3.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
httpcore-4.4.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-core-2.12.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-core-asl-1.9.2-redhat-1.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
jackson-mapper-asl-1.9.2-redhat-1.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
javax.inject-1.jar,"Apache-2.0",-,-,-,Java,-,-,-
jjwt-api-0.11.2.jar,"Apache-2.0",Apache Foundation,-,-,Java,-,-,-
jjwt-gson-0.11.2.jar,"Apache-2.0",Apache Foundation,-,-,Java,-,-,-
jjwt-impl-0.11.2.jar,"Apache-2.0",Apache Foundation,-,-,Java,-,-,-
log4j-1.2.16.jar,"Apache-2.0",-,-,-,Java,-,-,-
neethi-3.0.1-redhat-1.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
pdfbox-2.0.0-RC2.jar,"Apache-2.0",-,-,-,Java,-,-,-
poi-3.8.jar,"Apache-2.0",-,-,-,Java,-,-,-
shibboleth-shibfilter-1.0.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-core-3.1.1.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
